,product_id,product_title,rating,summary,review,name,location,date,upvotes,downvotes
1073,AICFYNGFPPNRM8FG,Symphony 27 L Room/Personal Air Cooler,5,Simply awesome,Good product average cooling and flow is super cool,Imran Khan,Surat,7 days ago,0,0
10,ACCFBPGHR8HWPHUF,HP 1000 Wired Optical Mouse,5,Highly recommended,"good product and it was comfortable to laptop using,it's packing is good and the delivery of this product is nice ❤",Jamal Av,Moonniyur,"May, 2019",18,9
46,ACCGFWY43WADZC5E,GadgetM Back Cover for Apple Iphone 12,5,Must buy!,Good one,Neepa  Prakash,Ernakulam,2 months ago,0,0
1335,AICFNMDBXVAQMBVS,Symphony 80 L Desert Air Cooler,5,Super!,Cooling efficiency is good. but noise level is high. Symphony like brand need to work upon it.I grab it on 13K. caster wheel lock not available in this model.Quite OK,Ved Prakash  Verma,Gurgaon,10 months ago,0,0
722,AICFERMY7WWWAZYZ,Hindware Calisto 50 L Desert Air Cooler,4,Worth the money,"Its cool and compact. Works perfectly for a double sized hall of around 300sft. Only problem is the swing option. It doesnt swing to left as it does to right. Apart from this, it is worth purchasing. Got it for 6119 with discount offer in Mar'21.",Pocha Varun Kumar Reddy,Kurnool District,11 months ago,3,3
730,ACCDTR26KZZMSB57,HP x500 Wired Optical Mouse,5,Wonderful,Good,Moynul hassan mallick,Burdwan,5 months ago,0,0
610,ACCF5Q2FBDBUZPAU,"Logitech M221 / Silent Buttons, 1000 DPI Optical Tracking, Ambidextrous Wireless Optical Mouse",5,Brilliant,Amazing Product,Pratik Patel,Mahesana,2 months ago,0,0
107,CKBFS8YEP4YSAA9G,Chaayos Chai-Time Snacks Cookies,5,Awesome,These are just the ones we require in these times... healthy and very yummy.. just the perfect ones.. also superb for diabetic patients so that they can enjoy these amazing cookies..,Anshika,Meerut,3 months ago,0,0
944,ACCFBTYGYXRTU5GA,FU4 Portable Flexible Silicone Foldable Waterproof Wired USB Tablet Keyboard Wired USB Multi-device Keyboard (Black) Wired USB Multi-device Keyboard,2,Could be way better,bad product,Patel  Vatsal,Surat,"Dec, 2019",0,0
599,ACCERQGMQCQFXGHC,GoldKart Back Cover for Apple iPhone 6 GOLDCASE-701,3,Just okay,Superb,Ajaysinh Jadeja,Jamnagar District,7 months ago,0,0
197,ACCGFXRUUQEYMRKA,"CEDO Flip Cover for Samsung Galaxy F12, Samsung Galaxy M12, Samsung Galaxy A12",5,Must buy!,I am happy. Nice product,Navanath Ghodake,Pimpri Chinchwad,8 months ago,13,2
296,ACCFBZGVBKU3MNFY,HP 100 Wired USB Desktop Keyboard,5,Awesome,Good quality like this product,Lovely Pintu,Kishanganj,1 month ago,0,0
384,ACCFH7H8FG6GZMKB,"Flipkart SmartBuy Back Cover for Samsung Galaxy A20, Samsung Galaxy A30, Samsung Galaxy M10S",3,Does the job,Good product.  Very nice. Weight less product. Safety an d good material,Nandha kumar,Tiruppur,5 months ago,0,0
450,AICFQV87NFUG595H,CROMPTON 40 L Room/Personal Air Cooler,5,Best in the market!,good product.,Sumit,Mirzapur,9 months ago,0,0
678,AICEQUFHBKNF5U4T,Symphony 12 L Room/Personal Air Cooler,1,Not satisfied,This product is worst i don't know how people was given possitive comments for this productBecause in the product they had given 8 air threwing blades but last 4 blades in side was closed ok similarly and then down side up 1 rod air doesent come Accodingly will see working place was only one feet via air have coming at the same time if we suppose to sit on floor air doesn't come we slept on bed no effectWe sit in bed air will be çoming i completely up set with this product. So i will retur...,sayee venkatraman,Chennai,"Apr, 2018",41,19
1525,AICFCMRDPJ4DK4ZD,Flipkart SmartBuy 30 L Tower Air Cooler,5,Perfect product!,it's very good product . thank to flipcart . I think made by one good company.,ranadheer kumar,Hyderabad,"Mar, 2019",21,16
728,AICFERMY7WWWAZYZ,Hindware Calisto 50 L Desert Air Cooler,5,Perfect product!,buget friendly product....awsm cooling....not compair to ac but better than all types of fan,Sandip Kundu,Habra,"Jun, 2019",12,1
116,ACCFYV8ZGVEM4DVE,GadgetM Back Cover for Apple Iphone 11,4,Very Good,Good one,Rajat  Parakh,Churu,7 months ago,1,0
76,AICERF3ZMFAYK4ZC,Hindware 85 L Desert Air Cooler,4,Good quality product,I am writting the review after almost 1 year use of product.Its still working fine..easy to move and sufficient for my 10x10 ft. room or it has capabilty to cool more than this size.Just faced a little issue after received of this product and same is rectified by customer care with positive response !! This is in Budget...one can go for it !,Kuldeep Kumar,New Delhi,10 months ago,1,0
